Unique Specimen Number,Label Date,Site,Display Date,Station,Collection Method,Specimen Kind ,Order,Family,Genus,Subgenus,Species,Subspecies,Nr.,Label Name,Short label name,Sex,Vial Duplicates,Voucher Specimen,Questionable or Incomplete Identification,Broken Specimen,Entered by,Entered Date,NOTES,Count,18,Jgardner
7210,20190731,POS,30/Jul/2015,POS1,T,P,,,Osmia,Melanosmia,albolateralis,,,Osmia (Melanosmia) albolateralis,Osmia albolateralis,F,,,,,WRP,42322,det. EAS 20220223,1,0,0
7211,20190731,POS,30/Jul/2015,POS1,T,P,,,Bombus,Thoracobombus,fervidus,,,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,,,,,WRP,42322,,1,0,0
7212,20190731,POS,30/Jul/2015,POS1,T,P,,,Bombus,Pyrobombus,vosnesenskii,,,Bombus (Pyrobombus) vosnesenskii,Bombus vosnesenskii,F,,,,,WRP,42322,,1,0,0
7213,20190731,POS,30/Jul/2015,POS1,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7214,20190731,POS,30/Jul/2015,POS1,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7215,20190731,POS,30/Jul/2015,POS1,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7216,20190731,POS,30/Jul/2015,POS1,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,M,,,,,WRP,42322,,1,0,0
7217,20190731,POS,30/Jul/2015,POS1,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,M,,,,,WRP,42322,,1,0,0
7218,20190705,POS,4/Jul/2015,POS5,T,P,,,Coelioxys,Boreocoelioxys,rufitarsis,,,Coelioxys (Boreocoelioxys) rufitarsis,Coelioxys rufitarsis,M,,,,,WRP,42322,,1,0,0
7219,20190705,POS,4/Jul/2015,POS6,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7220,20190731,POS,30/Jul/2015,POS2,T,P,,,Lasioglossum,Leuchalictus,zonulum,,,Lasioglossum (Leuchalictus) zonulum,Lasioglossum zonulum,F,,,,,WRP,42322,[WSU May2023]; det. JGardner [WRP 20230523],1,0,1
7221,20190731,POS,30/Jul/2015,POS2,T,P,,,Lasioglossum,Hemihalictus,kincaidii,,,Lasioglossum (Hemihalictus) kincaidii,Lasioglossum kincaidii,F,,Y,,,WRP,42322,"corrected from L. (Evylaeus) sp. [WRP 20230503]; [WSU May2023]; det. JGardner, corrected from L. (Hemihalictus) sp. 1 [WRP 20230523]",1,0,1
7222,20190731,POS,30/Jul/2015,POS2,T,P,,,Lasioglossum,Hemihalictus,kincaidii,,,Lasioglossum (Hemihalictus) kincaidii,Lasioglossum kincaidii,F,,,,,WRP,42322,"corrected from L. (Evylaeus) sp. [WRP 20230503]; [WSU May2023]; det. JGardner, corrected from L. (Hemihalictus) sp. 1 [WRP 20230523]",1,0,1
7223,20190731,POS,30/Jul/2015,POS2,T,P,,,Lasioglossum,Hemihalictus,kincaidii,,,Lasioglossum (Hemihalictus) kincaidii,Lasioglossum kincaidii,F,,,,,WRP,42322,"corrected from L. (Evylaeus) sp. [WRP 20230503]; [WSU May2023]; det. JGardner, corrected from L. (Hemihalictus) sp. 1 [WRP 20230523]",1,0,1
7224,20190731,POS,30/Jul/2015,POS2,T,P,,,Lasioglossum,Hemihalictus,kincaidii,,,Lasioglossum (Hemihalictus) kincaidii,Lasioglossum kincaidii,F,,,,,WRP,42322,"corrected from L. (Evylaeus) sp. [WRP 20230503]; [WSU May2023]; det. JGardner, corrected from L. (Hemihalictus) sp. 1 [WRP 20230523]",1,0,1
7225,20190731,POS,30/Jul/2015,POS2,T,P,,,Sphecodes,,msp. BS0017,,,Sphecodes msp. BS0017,Sphecodes msp. BS0017,M,,,,,WRP,42322,,1,0,0
7226,20190731,POS,30/Jul/2015,POS2,T,P,,,Megachile,Xanthosarus,perihirta,,,Megachile (Xanthosarus) perihirta,Megachile perihirta,F,,,,,WRP,42322,,1,0,0
7227,20190731,POS,30/Jul/2015,POS2,T,P,,,Megachile,Xanthosarus,perihirta,,,Megachile (Xanthosarus) perihirta,Megachile perihirta,M,,,,,WRP,42322,,1,0,0
7228,20190731,POS,30/Jul/2015,POS2,T,P,,,Megachile,Litomegachile,brevis,,,Megachile (Litomegachile) brevis,Megachile brevis,F,,,,,WRP,42322,,1,0,0
7229,20190731,POS,30/Jul/2015,POS2,T,P,,,Megachile,Litomegachile,brevis,,Y,Megachile (Litomegachile) nr. brevis,Megachile brevis,F,,,,,WRP,42322,,1,0,0
7230,20190731,POS,30/Jul/2015,POS2,T,P,,,Osmia,Melanosmia,albolateralis,,,Osmia (Melanosmia) albolateralis,Osmia albolateralis,F,,,,,WRP,42322,det. EAS 20220223,1,0,0
7231,20190731,POS,30/Jul/2015,POS2,T,P,,,Osmia,Melanosmia,phaceliae,,,Osmia (Melanosmia) phaceliae,Osmia phaceliae,F,,,,,WRP,42322,"small, corrected from O. albolateralis nr. [EAS 20220226], corrected from msp. BS0057 [T Griswold 20221020]",1,0,0
7232,20190731,POS,30/Jul/2015,POS2,T,P,,,Ceratina,Zadontomerus,acantha,,,Ceratina (Zadontomerus) acantha,Ceratina acantha,F,,,,,WRP,42322,,1,0,0
7233,20190731,POS,30/Jul/2015,POS5,T,P,,,Halictus,Seladonia,confusus,,,Halictus (Seladonia) confusus,Halictus confusus,F,,,,,WRP,42322,,1,0,0
7234,20190731,POS,30/Jul/2015,POS5,T,P,,,Lasioglossum,Dialictus,aff. tenax,,,Lasioglossum (Dialictus) aff. tenax,Lasioglossum aff. tenax,F,,Y,,,WRP,42322,corrected from L. (Dialictus) nevadense [EAS 20230919]; det JGardner [WRP 20231024],1,0,1
7236,20190731,POS,30/Jul/2015,POS5,T,P,,,Megachile,Xanthosarus,perihirta,,,Megachile (Xanthosarus) perihirta,Megachile perihirta,F,,,,,WRP,42322,,1,0,0
7237,20190731,POS,30/Jul/2015,POS5,T,P,,,Megachile,Xanthosarus,perihirta,,,Megachile (Xanthosarus) perihirta,Megachile perihirta,F,,,,,WRP,42322,,1,0,0
7238,20190731,POS,30/Jul/2015,POS5,T,P,,,Megachile,Xanthosarus,perihirta,,,Megachile (Xanthosarus) perihirta,Megachile perihirta,F,,,,,WRP,42322,,1,0,0
7239,20190731,POS,30/Jul/2015,POS5,T,P,,,Heriades,,sp.,,,Heriades sp.,Heriades sp.,F,,,,,WRP,42322,,1,0,0
7240,20190731,POS,30/Jul/2015,POS5,T,P,,,Bombus,Pyrobombus,flavifrons,,,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,M,,,,,WRP,42322,,1,0,0
7241,20190731,POS,30/Jul/2015,POS5,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7242,20190731,POS,30/Jul/2015,POS5,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7243,20190731,POS,30/Jul/2015,POS5,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7244,20190731,POS,30/Jul/2015,POS5,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7245,20190731,POS,30/Jul/2015,POS5,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,F,,,,,WRP,42322,,1,0,0
7246,20190705,POS,4/Jul/2015,POS12,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,M,,,,,WRP,42322,,1,0,0
7247,20190705,POS,4/Jul/2015,POS12,T,P,,,Melissodes,Eumelissodes,microsticta,,,Melissodes (Eumelissodes) microsticta,Melissodes microsticta,M,,,,,WRP,42322,,1,0,0
7248,20190731,POS,30/Jul/2015,POS6,T,P,,,Lasioglossum,Sphecodogastra,cooleyi,,Y,Lasioglossum (Sphecodogastra) nr. cooleyi,Lasioglossum cooleyi,F,,,,,WRP,42322,corrected from Lasioglossum s.s. [WRP 20211018],1,1,0
7249,20190731,POS,30/Jul/2015,POS6,T,P,,,Lasioglossum,Lasioglossum,pacificum,,,Lasioglossum (Lasioglossum) pacificum,Lasioglossum pacificum,F,,,,,WRP,42322,Inner hind tibial spur lacks teeth,1,0,0
7250,20190731,POS,30/Jul/2015,POS6,T,P,,,Megachile,Xanthosarus,perihirta,,,Megachile (Xanthosarus) perihirta,Megachile perihirta,F,,,,,WRP,42322,,1,0,0
